id,uncertain_discourse_markers,uncertain_hedge_terms,uncertain_boosters_preceeded_by_negation
208,True,True,False
209,True,True,False
210,True,True,False
211,True,False,False
212,True,False,False
213,True,False,False
214,True,False,False
215,True,False,False
216,True,False,False
217,True,False,False
218,True,False,False
219,True,False,False
220,True,False,False
221,True,True,False
222,True,True,False
223,True,True,False
224,True,True,False
225,True,True,False
226,False,False,False
227,False,False,False
228,False,False,False
229,False,False,False
230,False,False,False
231,True,False,False
232,True,False,False
233,True,False,False
234,True,False,False
235,True,False,False
236,False,True,False
237,False,True,False
238,False,True,False
239,False,True,False
240,False,True,False
241,True,False,False
242,True,False,False
243,True,False,False
244,True,False,False
245,True,False,False
246,True,True,False
247,True,True,False
248,True,True,False
249,True,True,False
250,True,True,False
251,True,False,False
252,True,False,False
253,True,False,False
254,True,False,False
255,True,False,False
256,True,False,False
257,True,False,False
258,True,False,False
259,True,False,False
260,True,False,False
261,False,False,False
262,False,False,False
263,False,False,False
264,False,False,False
265,False,False,False
266,True,True,False
267,True,True,False
268,True,True,False
269,True,True,False
270,True,True,False
271,True,False,False
272,True,False,False
273,True,False,False
274,True,False,False
275,True,False,False
276,True,False,False
277,True,False,False
278,True,False,False
279,True,False,False
280,True,False,False
281,True,False,False
282,True,False,False
283,True,False,False
284,True,False,False
285,True,False,False
286,True,False,False
287,True,False,False
288,True,False,False
289,True,False,False
290,True,False,False
291,True,False,False
292,True,False,False
293,True,False,False
294,True,False,False
295,True,False,False
296,True,False,False
297,True,False,False
298,True,False,False
299,True,False,False
300,True,False,False
301,False,False,False
302,False,False,False
303,False,False,False
304,False,False,False
305,False,False,False
306,True,False,False
307,True,False,False
308,True,False,False
309,True,False,False
310,True,False,False
311,True,False,False
312,True,False,False
313,True,False,False
314,True,False,False
315,True,False,False
316,True,False,False
317,True,False,False
318,True,False,False
319,True,False,False
320,True,False,False
321,True,False,False
322,True,False,False
323,True,False,False
324,True,False,False
325,True,False,False
326,True,False,False
327,True,False,False
328,True,False,False
329,True,False,False
330,True,False,False
331,False,False,False
332,False,False,False
333,False,False,False
334,False,False,False
335,False,False,False
336,True,False,False
337,True,False,False
338,True,False,False
339,True,False,False
340,True,False,False
341,False,True,False
342,False,True,False
343,False,True,False
344,False,True,False
345,False,True,False
346,True,True,False
347,True,True,False
348,True,True,False
349,True,True,False
350,True,True,False
351,False,True,False
352,False,True,False
353,False,True,False
354,False,True,False
355,False,True,False
356,True,True,False
357,True,True,False
358,True,True,False
359,True,True,False
360,True,True,False
361,True,False,False
362,True,False,False
363,True,False,False
364,True,False,False
365,True,False,False
366,False,False,False
367,False,False,False
368,False,False,False
369,False,False,False
370,False,False,False
371,False,False,False
372,False,False,False
373,False,False,False
374,False,False,False
375,False,False,False
376,True,False,False
377,True,False,False
378,True,False,False
379,True,False,False
380,True,False,False
381,False,False,False
382,False,False,False
383,False,False,False
384,False,False,False
385,False,False,False
386,True,False,False
387,True,False,False
388,True,False,False
389,True,False,False
390,True,False,False
391,True,True,False
392,True,True,False
393,True,True,False
394,True,True,False
395,True,True,False
396,True,False,False
397,True,False,False
398,True,False,False
399,True,False,False
400,True,False,False
401,True,False,False
402,True,False,False
403,True,False,False
404,True,False,False
405,True,False,False
406,True,False,False
407,True,False,False
408,True,False,False
409,True,False,False
410,True,False,False
411,True,False,False
412,True,False,False
414,True,False,False
415,True,False,False
416,True,True,False
417,True,True,False
418,True,False,False
419,True,False,False
420,True,True,False
421,True,True,False
422,True,True,False
423,True,True,False
424,True,True,False
425,True,True,False
426,True,False,False
427,True,False,False
428,True,False,False
429,True,False,False
430,True,False,False
431,True,False,False
432,True,False,False
433,True,False,False
434,True,False,False
435,True,False,False
436,True,False,False
437,True,False,False
438,True,False,False
439,True,False,False
440,True,False,False
441,True,False,False
442,True,False,False
443,True,False,False
444,True,False,False
445,True,False,False
446,True,True,False
447,True,True,False
448,True,True,False
449,True,True,False
450,True,True,False
451,True,False,False
452,True,False,False
453,True,False,False
454,True,False,False
455,True,False,False
456,True,False,False
457,True,False,False
458,True,False,False
459,True,False,False
460,True,False,False
461,True,False,False
462,True,False,False
463,True,False,False
464,True,False,False
465,True,False,False
466,True,False,False
467,True,False,False
468,True,False,False
469,True,False,False
470,True,False,False
471,True,False,False
472,True,False,False
473,True,False,False
474,True,False,False
475,True,False,False
476,True,True,False
477,True,True,False
478,True,True,False
479,True,True,False
480,True,True,False
481,True,False,False
482,True,False,False
483,True,False,False
484,True,False,False
485,True,False,False
486,True,False,False
487,True,False,False
488,True,False,False
489,True,False,False
490,True,False,False
491,False,False,False
492,False,False,False
493,False,False,False
494,False,False,False
495,False,False,False
496,True,False,False
497,True,False,False
498,True,False,False
499,True,False,False
500,True,False,False
501,True,False,False
502,True,False,False
503,True,False,False
504,True,False,False
505,True,False,False
506,True,False,False
507,True,False,False
508,True,False,False
509,True,False,False
510,True,False,False
511,False,False,False
512,False,False,False
513,False,False,False
514,False,False,False
515,False,False,False
516,False,False,False
517,False,False,False
518,False,False,False
519,False,False,False
520,False,False,False
521,True,False,False
522,True,False,False
523,True,False,False
524,True,False,False
525,True,False,False
526,False,False,False
527,False,False,False
528,False,False,False
529,False,False,False
530,False,False,False
531,False,False,False
532,False,False,False
533,False,False,False
534,False,False,False
535,False,False,False
536,False,False,False
537,False,False,False
538,False,False,False
539,False,False,False
540,False,False,False
541,False,False,False
542,False,False,False
543,False,False,False
544,False,False,False
545,False,False,False
546,True,False,False
547,True,False,False
548,True,False,False
549,True,False,False
550,True,False,False
551,False,False,False
552,False,False,False
553,False,False,False
554,False,False,False
555,False,False,False
556,False,False,False
557,False,False,False
558,False,False,False
559,False,False,False
560,False,False,False
561,True,False,False
562,True,False,False
563,True,False,False
564,True,False,False
565,True,False,False
566,False,True,False
567,False,True,False
568,False,True,False
569,False,True,False
570,False,True,False
571,True,False,False
572,True,False,False
573,True,False,False
574,True,False,False
575,True,False,False
576,False,False,False
577,False,False,False
578,False,False,False
579,False,False,False
580,False,False,False
581,True,False,False
582,True,False,False
583,True,False,False
584,True,False,False
585,True,False,False
586,True,False,False
587,True,False,False
588,True,False,False
589,True,False,False
590,True,False,False
591,True,False,False
592,True,False,False
593,True,False,False
594,True,False,False
595,True,False,False
596,True,False,False
597,True,False,False
598,True,False,False
599,True,False,False
600,True,False,False
601,False,False,False
602,False,False,False
603,False,False,False
604,False,False,False
605,False,False,False
606,False,False,False
607,False,False,False
608,False,False,False
609,False,False,False
610,False,False,False
611,False,True,False
612,False,True,False
613,False,True,False
614,False,True,False
615,False,True,False
616,True,False,False
617,True,False,False
618,True,False,False
619,True,False,False
620,True,False,False
621,False,False,False
622,False,False,False
623,False,False,False
624,False,False,False
625,False,False,False
626,True,False,False
627,True,False,False
628,True,False,False
629,True,False,False
630,True,False,False
631,True,False,False
632,True,False,False
633,True,False,False
634,True,False,False
635,True,False,False
636,True,False,False
637,True,False,False
638,True,False,False
639,True,False,False
640,True,False,False
641,True,True,False
642,True,True,False
643,True,True,False
644,True,True,False
645,True,True,False
646,False,False,False
647,False,False,False
648,False,False,False
649,False,False,False
650,False,False,False
651,True,True,False
652,True,True,False
653,True,True,False
654,True,True,False
655,True,True,False
656,True,True,False
657,True,True,False
658,True,True,False
659,True,True,False
660,True,True,False
661,True,False,False
662,True,False,False
663,True,False,False
664,True,False,False
665,True,False,False
666,True,False,False
667,True,False,False
668,True,False,False
669,True,False,False
670,True,False,False
671,True,True,False
672,True,True,False
673,True,True,False
674,True,True,False
675,True,True,False
676,False,False,False
677,False,False,False
678,False,False,False
679,False,False,False
680,False,False,False
681,True,False,False
682,True,False,False
683,True,False,False
684,True,False,False
685,True,False,False
686,True,True,False
687,True,True,False
688,True,True,False
689,True,True,False
690,True,True,False
691,True,False,False
692,True,False,False
693,True,False,False
694,True,False,False
695,True,False,False
696,True,True,False
697,True,True,False
698,True,True,False
699,True,True,False
700,True,True,False
701,False,False,False
702,False,False,False
703,False,False,False
704,False,False,False
705,False,False,False
706,False,False,False
707,False,False,False
708,False,False,False
709,False,False,False
710,False,False,False
711,True,False,True
712,True,False,True
713,True,False,True
714,True,False,True
715,True,False,True
716,True,False,False
717,True,False,False
718,True,False,False
719,True,False,False
720,True,False,False
721,True,False,False
722,True,False,False
723,True,False,False
724,True,False,False
725,True,False,False
726,True,False,False
727,True,False,False
728,True,False,False
729,True,False,False
730,True,False,False
731,True,False,False
732,True,False,False
733,True,False,False
734,True,False,False
735,True,False,False
736,False,False,False
737,False,False,False
738,False,False,False
739,False,False,False
740,False,False,False
741,False,False,False
742,False,False,False
743,False,False,False
744,False,False,False
745,False,False,False
746,True,True,False
747,True,True,False
748,True,True,False
749,True,True,False
750,True,True,False
751,False,True,False
752,False,False,False
753,False,False,False
754,False,False,False
755,False,False,False
756,False,False,False
757,False,False,False
758,False,False,False
759,False,False,False
760,False,False,False
761,False,False,False
762,False,False,False
763,False,False,False
764,False,True,False
765,False,False,False
766,False,False,False
767,False,False,False
768,False,False,False
769,False,False,False
770,False,False,False
771,False,False,False
772,False,False,False
773,False,False,False
774,False,False,False
775,False,False,False
776,False,False,False
777,False,False,False
778,False,False,False
779,False,False,False
780,False,False,False
781,False,False,False
782,False,False,False
783,False,False,False
784,False,False,False
785,False,False,False
786,False,False,False
787,False,False,False
788,False,False,False
789,False,False,False
790,False,False,False
791,False,False,False
792,False,False,False
793,False,False,False
794,False,False,False
795,False,False,False
796,False,False,False
797,False,False,False
798,False,False,False
799,False,False,False
800,False,False,False
801,False,False,False
802,False,False,False
803,False,False,False
804,False,False,False
805,False,False,False
806,False,False,False
807,False,False,False
808,False,False,False
809,False,False,False
810,False,False,False
811,False,False,False
812,False,False,False
813,False,False,False
814,False,False,False
815,False,False,False
816,False,False,False
817,False,False,False
818,False,False,False
819,False,False,False
820,False,False,False
821,False,False,False
822,False,False,False
823,False,False,False
824,False,False,False
825,False,False,False
826,False,False,False
827,False,False,False
828,False,False,False
829,False,False,False
830,False,False,False
831,False,False,False
832,False,False,False
833,False,False,False
834,False,False,False
835,False,False,False
836,False,False,False
837,False,False,False
838,False,False,False
839,False,False,False
840,False,False,False
841,False,False,False
842,False,False,False
843,False,False,False
844,False,False,False
845,False,False,False
846,False,False,False
847,False,False,False
848,False,False,False
849,False,False,False
850,False,False,False
851,False,False,False
852,False,False,False
853,False,False,False
854,False,False,False
855,False,False,False
856,False,False,False
857,True,False,False
858,False,False,False
859,False,False,False
860,False,False,False
861,False,False,False
862,False,False,False
863,False,False,False
864,False,False,False
865,False,False,False
866,False,False,False
867,False,False,False
868,False,False,False
869,False,False,False
870,False,False,False
871,False,False,False
872,False,False,False
873,False,False,False
874,False,False,False
875,False,False,False
876,False,False,False
877,False,False,False
878,False,False,False
879,False,False,False
880,False,False,False
881,False,False,False
882,False,False,False
883,False,False,False
884,False,False,False
885,False,False,False
886,False,False,False
887,False,False,False
888,False,False,False
889,False,False,False
890,False,False,False
891,False,False,False
892,False,False,False
893,False,False,False
894,False,False,False
895,False,False,False
896,False,False,False
897,False,False,False
898,False,False,False
899,False,False,False
900,False,False,False
901,False,False,False
902,False,False,False
903,False,False,False
904,False,False,False
905,False,False,False
906,False,False,False
907,False,False,False
908,False,False,False
909,False,False,False
910,False,False,False
911,False,False,False
912,False,False,False
913,False,False,False
914,False,False,False
915,False,False,False
916,False,False,False
917,False,False,False
918,False,False,False
919,False,False,False
920,False,False,False
921,False,False,False
922,False,False,False
923,False,False,False
924,False,False,False
925,False,False,False
926,False,False,False
927,False,False,False
928,False,False,False
929,False,False,False
930,False,False,False
931,False,False,False
932,False,False,False
933,False,False,False
934,False,False,False
935,False,False,False
936,False,False,False
937,False,False,False
938,False,False,False
939,False,False,False
940,False,False,False
941,False,False,False
942,False,False,False
943,False,False,False
944,False,False,False
945,False,False,False
946,False,False,False
947,True,True,False
948,False,False,False
949,False,False,False
950,True,False,False
951,True,False,False
952,True,False,False
953,False,False,False
954,False,False,False
955,True,True,False
956,True,False,False
957,True,False,False
958,True,False,False
959,True,False,False
960,True,False,False
961,False,False,False
962,True,False,False
963,True,False,False
964,True,False,False
965,True,True,False
966,True,False,False
967,True,False,False
968,False,False,False
969,True,True,False
970,True,False,False
971,True,True,False
972,True,True,False
973,True,False,False
974,True,False,False
975,True,False,False
976,True,True,False
977,True,False,False
978,True,True,False
979,True,False,False
980,True,False,False
981,True,True,False
982,False,False,False
983,True,False,False
984,True,False,False
985,True,True,False
986,True,True,False
987,False,False,False
988,True,False,False
989,True,False,False
990,True,False,False
991,True,False,False
992,False,True,False
993,True,False,False
994,True,False,False
995,True,False,False
996,True,False,False
997,False,False,False
998,False,False,False
999,True,False,False
1000,True,False,False
1001,True,True,False
1002,False,False,False
1003,True,False,False
1004,True,True,False
1005,True,False,False
1006,True,False,False
1007,True,False,False
1008,False,False,False
1009,True,False,False
1010,True,False,False
1011,True,False,False
1012,True,False,False
1013,True,False,False
1014,True,False,False
1015,False,False,False
1016,True,False,False
1017,True,False,False
1018,True,False,False
1019,True,False,False
1020,True,False,False
1021,True,False,False
1022,True,False,False
1023,True,False,False
1024,False,True,False
1025,True,True,False
1026,False,False,False
1027,True,False,False
1028,True,False,False
1029,True,False,False
1030,False,False,False
1031,True,False,False
1032,True,False,False
1033,False,False,False
1034,True,False,False
1035,False,True,False
1036,True,False,False
1037,True,False,False
1038,True,False,False
1039,True,False,False
1040,True,False,False
1041,True,False,False
1042,False,False,False
1043,True,False,False
1044,True,False,False
1045,False,False,False
1046,True,False,False
1047,False,False,False
1048,True,False,False
1049,False,False,False
1050,True,False,False
1051,False,False,False
1052,True,False,False
1054,False,False,False
1055,True,False,False
1056,True,False,False
1057,False,False,False
1058,True,False,False
1059,False,False,False
1060,True,False,False
1061,True,False,False
1062,True,False,False
1063,False,True,False
